Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.223058133,2.055485928,0.186907631,17.06355004,21.18513773,-3.857808858,-1.655492522,-5.874439462,-0.418781726,6.16194332,12.91393144,6.81314995,27.13683528,-6.829704742,-14.0736377,16.9476082,7.816343263,-4.687809713,-8.805834055,8.920287042,-17.59023576,0.664177638,-0.415663968,7.611566485,18.50487082,-12.03375347,8.298275364,8.979311249,-0.971130901,0.923362087,5.254015487,4.14876025,-2.215285848,6.171056558,4.272050321,
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.10603063,0.8153517,0.438576328,0.262771273,1.226732624,0.378815653,0.542073663,0.061752591,0.151892171,-0.020972025,0.314194019,0.216816284,0.361513381,0.050646397,0.410179996,0.071386766,0.290438776,0.156371211,0.269714183,0.188947218,0.032480002,0.461290541,0.272028871,0.353969345,0.508272652,1.012657083,0.794203478,2.083608849,1.584427632,2.439307873,1.553443521,4.822046509,2.487862218,2.478118268,1.859474113,2.057838843,1.267837466,2.473181444,3.233404733,2.601695571,1.636020109,1.838492283,2.529338914,2.186076109,2.752528273,3.108873057,1.890702632,0.990503696,1.345126006,1.502827164,1.39868304,4.911575494,1.548934357
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.013151224,0.024575271,0.009401115,0.015576924,,,0.001565217,-0.008126411,,0.032450496,0.247135743,0.005174216,,,,,,,,,,,,,,,,,,,,,1.297274208,1.273268943,3.579893949,4.352575349,3.413956577,1.942101296,0.449119722,0.461604318,1.220265701,0.286818219,0.281255499,0.234926112,0.209119435,0.845811547,0.519387512,0.272718743,0.648439173,0.123804125,0.064388905,0.141265755,
Africa Western and Central,AFW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.556592978,2.084729298,1.853485439,1.827692328,1.064696703,1.566867094,0.86306055,0.95544011,0.872265685,0.860265784,-0.27448937,0.430295601,0.480353312,0.568124483,0.302154693,0.783943536,0.190999564,0.942447608,0.628420803,1.882581335,0.697261155,0.706895151,1.037173773,1.836224695,2.755602091,0.871000832,1.047458683,1.110795498,1.31492746,1.555638736,1.816368806,2.170840326,2.487861422,2.564228009,1.830276429,2.984380976,2.318435054,2.79936888,2.873845972,3.572202431,3.153490939,3.592458697,2.83527464,2.297211835,1.855933237,2.035162923,2.015877829,2.578836755,2.019859119,1.513939841,1.367303969,2.055035338,1.433201428
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0.630975104,0.88370687,2.086485073,1.803662496,1.095005676,3.68013758,3.308572716,1.471968449,1.493756423,1.96044201,-2.981428692,5.230406071,1.90518257,2.733456973,5.022857986,8.495021078,2.398829075,5.382318076,17.12159065,40.16725096,9.62386631,24.00907534,11.40619182,20.08101439,9.32923924,-3.526657165,-0.072000996,-1.368762391,1.896313901,3.13666067,-3.950097761,-2.763035293,-1.171719166,-5.337281076,2.664963835,11.49770191,-0.360184289,-10.72495055,-8.299051356,-5.913333383,-3.715002553,-6.630262167,-6.183515029
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3.066661599,4.893212106,2.817723801,2.925485967,2.815941067,2.103152805,1.767895793,1.282641334,4.108775955,5.285432754,3.104827074,3.172708178,4.750174509,3.259767707,3.654851347,6.108979651,9.682070867,11.17064322,9.138131215,8.135336162,7.451354932,9.816284551,8.693038722,8.69053392,8.805091978,7.855448267,7.946355675,7.797920508,7.055092209,6.796140804,7.633590721
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.472181123,-0.082709678,0.26690213,-0.806742069,-2.889708932,1.407685895,0.073568478,0.654985825,0.568930355,0.097485654,-0.492501853,1.773985381,2.942339496,1.529291122,1.578590073,0.484653936,0.658913526,0.026424078,0.383028183,0.277014926,0.47690679,0.45340688,0.739298239,0.903327527,0.973775246,0.05511824,0.597093468,1.356880416,1.487512952,0.424229062,0.468964246,1.11022964,0.763564863,1.635658317,2.01481054,3.534083244,4.496589818,4.551149118,3.924229534,3.858437216,2.998381612,1.754231566,1.814529982,1.4536518,1.076291988,1.005147059,1.290421765,1.149833628,1.214770748,1.360994936,1.48414645,1.907471304,1.544659485
United Arab Emirates,ARE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,0.108350617,0.257271627,0.451274584,0.16453729,0.206817079,0.223949268,-0.034337775,0.203892014,0.106393608,0.407195241,-0.544187527,0.324685539,0.128404884,0.520707069,0.093548785,-0.228435309,0.050317964,0.239162943,0.721471949,0.105319789,0.608195467,0.408474867,0.294815986,0.340485312,-1.166835786,-0.485281533,1.14589217,0.086781366,3.422662713,6.767152113,6.034816039,5.765437532,5.500439718,1.604874609,0.447367364,3.035593695,2.039574591,2.487363363,2.439895657,2.673603848,2.309335225,2.601119691,2.651415482,2.43186976,4.276339458,5.689843791,4.979769957,4.479801193
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.284224297,0.377464477,0.206489502,0.190792478,0.024738815,0.106009598,0.478175477,0.253605959,0.280742881,0.29746292,0.88095511,1.06384544,0.269252481,0.177920359,0.229226259,1.042530577,0.542162215,-0.017461488,0.903930866,1.341515906,1.298879263,1.285578854,1.936793864,1.179802812,1.411953029,2.17392759,2.553203406,3.127877939,2.438768962,8.460582171,3.665790595,0.806164135,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.044659768,2.8066719,1.779205536,0.96240665,1.977134618,0.584748945,1.789365033,2.23253155,1.485006865,1.266826405,1.416760243,2.435061692
