"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1960",2412.627589,
"AUS","GDP","TOT","USD_CAP","A","1961",2383.188902,
"AUS","GDP","TOT","USD_CAP","A","1962",2577.332834,
"AUS","GDP","TOT","USD_CAP","A","1963",2752.620592,
"AUS","GDP","TOT","USD_CAP","A","1964",2902.590472,
"AUS","GDP","TOT","USD_CAP","A","1965",3001.900269,
"AUS","GDP","TOT","USD_CAP","A","1966",3275.594754,
"AUS","GDP","TOT","USD_CAP","A","1967",3447.128012,
"AUS","GDP","TOT","USD_CAP","A","1968",3833.100887,
"AUS","GDP","TOT","USD_CAP","A","1969",4207.900059,
"AUS","GDP","TOT","USD_CAP","A","1970",4652.052555,
"AUS","GDP","TOT","USD_CAP","A","1971",4863.547147,
"AUS","GDP","TOT","USD_CAP","A","1972",5210.606409,
"AUS","GDP","TOT","USD_CAP","A","1973",5796.441599,
"AUS","GDP","TOT","USD_CAP","A","1974",6245.904885,
"AUS","GDP","TOT","USD_CAP","A","1975",6939.163592,
"AUS","GDP","TOT","USD_CAP","A","1976",7396.803098,
"AUS","GDP","TOT","USD_CAP","A","1977",7727.601527,
"AUS","GDP","TOT","USD_CAP","A","1978",8553.932397,
"AUS","GDP","TOT","USD_CAP","A","1979",9456.751581,
"AUS","GDP","TOT","USD_CAP","A","1980",10478.492046,
"AUS","GDP","TOT","USD_CAP","A","1981",11956.559959,
"AUS","GDP","TOT","USD_CAP","A","1982",11988.970545,
"AUS","GDP","TOT","USD_CAP","A","1983",12781.245289,
"AUS","GDP","TOT","USD_CAP","A","1984",13609.213388,
"AUS","GDP","TOT","USD_CAP","A","1985",14514.385569,
"AUS","GDP","TOT","USD_CAP","A","1986",14983.633868,
"AUS","GDP","TOT","USD_CAP","A","1987",16053.156429,
"AUS","GDP","TOT","USD_CAP","A","1988",17129.426919,
"AUS","GDP","TOT","USD_CAP","A","1989",17834.550059,
"AUS","GDP","TOT","USD_CAP","A","1990",17837.282129,
"AUS","GDP","TOT","USD_CAP","A","1991",18176.790696,
"AUS","GDP","TOT","USD_CAP","A","1992",19157.087211,
"AUS","GDP","TOT","USD_CAP","A","1993",20184.513428,
"AUS","GDP","TOT","USD_CAP","A","1994",21434.245193,
"AUS","GDP","TOT","USD_CAP","A","1995",22444.056465,
"AUS","GDP","TOT","USD_CAP","A","1996",23290.949915,
"AUS","GDP","TOT","USD_CAP","A","1997",24478.244636,
"AUS","GDP","TOT","USD_CAP","A","1998",25725.59883,
"AUS","GDP","TOT","USD_CAP","A","1999",27160.314973,
"AUS","GDP","TOT","USD_CAP","A","2000",28333.12594,
"AUS","GDP","TOT","USD_CAP","A","2001",29562.516305,
"AUS","GDP","TOT","USD_CAP","A","2002",30823.40346,
"AUS","GDP","TOT","USD_CAP","A","2003",32409.076853,
"AUS","GDP","TOT","USD_CAP","A","2004",34019.141874,
"AUS","GDP","TOT","USD_CAP","A","2005",35683.435996,
"AUS","GDP","TOT","USD_CAP","A","2006",37964.554442,
"AUS","GDP","TOT","USD_CAP","A","2007",39703.469623,
"AUS","GDP","TOT","USD_CAP","A","2008",40136.06886,
"AUS","GDP","TOT","USD_CAP","A","2009",41684.556225,
"AUS","GDP","TOT","USD_CAP","A","2010",42823.915178,
"AUS","GDP","TOT","USD_CAP","A","2011",44460.605016,
"AUS","GDP","TOT","USD_CAP","A","2012",43911.683304,
"AUS","GDP","TOT","USD_CAP","A","2013",47796.022174,
"AUS","GDP","TOT","USD_CAP","A","2014",47648.633963,
"AUS","GDP","TOT","USD_CAP","A","2015",47266.591718,
"AUS","GDP","TOT","USD_CAP","A","2016",50152.476571,
"AUS","GDP","TOT","USD_CAP","A","2017",50758.582318,
"AUS","GDP","TOT","USD_CAP","A","2018",53118.792237,
"AUS","GDP","TOT","USD_CAP","A","2019",52921.968891,
"AUS","GDP","TOT","USD_CAP","A","2020",56000.130076,
"AUS","GDP","TOT","USD_CAP","A","2021",62745.388207,
"AUS","GDP","TOT","USD_CAP","A","2022",69418.944207,
"AUT","GDP","TOT","USD_CAP","A","1970",3829.646689,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4210.347708,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4638.431362,"E"
"AUT","GDP","TOT","USD_CAP","A","1973",5103.316706,"E"
"AUT","GDP","TOT","USD_CAP","A","1974",5772.030257,"E"
"AUT","GDP","TOT","USD_CAP","A","1975",6300.403784,"E"
"AUT","GDP","TOT","USD_CAP","A","1976",6963.323109,"E"
"AUT","GDP","TOT","USD_CAP","A","1977",7768.711478,"E"
"AUT","GDP","TOT","USD_CAP","A","1978",8304.353702,"E"
"AUT","GDP","TOT","USD_CAP","A","1979",9491.2402,"E"
"AUT","GDP","TOT","USD_CAP","A","1980",10527.764347,"E"
"AUT","GDP","TOT","USD_CAP","A","1981",11477.980004,"E"
"AUT","GDP","TOT","USD_CAP","A","1982",12423.32151,"E"
"AUT","GDP","TOT","USD_CAP","A","1983",13315.239773,"E"
"AUT","GDP","TOT","USD_CAP","A","1984",13803.556965,"E"
"AUT","GDP","TOT","USD_CAP","A","1985",14589.051633,"E"
"AUT","GDP","TOT","USD_CAP","A","1986",15215.699333,"E"
"AUT","GDP","TOT","USD_CAP","A","1987",15793.565749,"E"
"AUT","GDP","TOT","USD_CAP","A","1988",16865.676111,"E"
"AUT","GDP","TOT","USD_CAP","A","1989",18126.308279,"E"
"AUT","GDP","TOT","USD_CAP","A","1990",19473.072125,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20617.579156,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21293.2684,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21732.871184,"E"
