Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137,18.64864865,12.12984055,3.961401727,7.962871744,5.882353953,7.307693245,8.203901293,2.547143687,1.185788511,7.046874992,1.991984449,1.238041842,7.616589113,4.195962803,-0.957771006,1.120879121,7.281025864,-0.384927066,1.138905837,3.0967223,1.833430856,-11.68358552,-2.732595966,3.366778149,-1.035375324,6.429816914,-0.020479214,3.54362966,2.116716123,5.482371174,5.257854913,0.635029788,-18.58909924,17.1725086,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.25487926,7.965825192,5.148216943,4.579327734,5.346209841,3.935912216,5.260546344,4.010708015,5.279902373,4.683212009,5.400758027,2.164867917,4.439659434,5.893000227,1.747771788,2.858052714,1.253909126,1.070393754,2.807224927,5.397540299,4.306544016,0.520133297,0.173313775,3.020939659,-0.429627896,2.288517693,4.23741684,4.012920487,2.904291979,-0.018534248,0.136909492,-1.979622264,-0.365018757,1.984762449,4.335235161,5.450145651,4.433278843,1.842345104,2.653277618,3.353760228,3.627244087,3.901575595,3.101958198,5.507830267,6.11215492,6.558305779,6.577085836,4.312488826,0.663960953,5.158675971,3.706906333,0.845015615,4.219599036,3.994681915,2.974101283,2.22452441,2.546973273,2.513983566,2.087765413,-2.888680575,4.334926691,3.404851577
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.69999999,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.854871684,3.772845364,7.27861175,5.410812097,4.081666435,-1.779934395,-9.555347211,1.457109302,15.53905601,17.91586386,10.80647711,3.158856791,4.222403502,10.2442076,-2.179404617,8.556227497,4.742192467,-2.193524519,5.215745103,2.043250182,-6.974176303,-3.377845951,-6.562956103,0.561473538,5.555259528,1.405766609,1.457619196,4.867777112,2.275272277,6.579375336,1.110252981,2.69219687,-1.20176348,-0.274994092,1.929529305,4.638415222,4.255206307,3.483894571,1.420264153,3.73268737,5.205159856,9.920820632,5.535666518,7.999780311,5.827778856,5.37503209,5.527124995,6.280311226,6.284468326,6.970999259,4.852866078,5.137565864,6.109740527,5.929462716,2.7500419,0.125435032,2.313218649,2.813142214,3.212407147,-0.927799549,3.980848328,3.762758491
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001429,6.000002165,3.49999949,2.900001742,4.082748635,6.128890478,0.041621462,-3.450098685,0.991359302,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95,15.03,11.55,14.01,11.17,0.86,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580111222,-0.147149825,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.04540301
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596801,1.104938262,-1.251596644,1.780643959,5.637243179,-0.787842655,-1.420039656,9.836548972,-9.57564017,-28.00214166,-7.187110915,9.559411685,8.302866597,13.32233332,9.099999436,-10.91998408,8.829423758,12.89080364,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.087711996,-3.302082039,8.908527818,4.844235895
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.649465361,8.149743488,7.788467203,5.618789729,0.542205659,3.303787046,2.838575568,1.463000179,0.041557195,2.208727611,-0.132474511,1.246461111,1.770118317,1.78468669,2.321433034,3.253321776,5.547122171,5.094326203,4.82703425,3.781387586,2.546003524,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.287199781,8.809579348
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,15.73781088,8.118093073,-0.593563905,10.99600127,9.04993183,3.374036438,-8.282807753,-6.207957577,1.327495201,-2.013492439,4.483335519,-0.082103874,5.81582795,2.193986638,12.05421835,2.434688136,5.150991352,3.139554487,3.318713057,3.008136812,4.736442035,4.718010364,5.126204566,1.854447738,6.567083352,1.7448028,0.71460848,4.89602246,8.830148931,5.505286674,6.102502409,4.558299768,5.548394024,0.388871582,4.728855464,3.512586792,5.142063406,2.618809549,2.430327868,3.448878174,3.688725251,1.218687607,2.447794694,1.377703184,-5.072595121,3.563609982,5.962745078
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081946,3.344944862,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602850048,6.928508595,4.776625734,5.055559658,4.165691841,6.786772877,5.56149076,0.735068714,1.313913882,1.108348135,-4.957052433,3.916296076,7.411103202
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.427842876,-0.852021522,-5.308196825,10.13029766,10.56943334,-0.659726171,3.191996623,4.822500779,9.679526011,3.045643319,5.658131082,1.628416518,2.811754038,5.533804396,-0.028412104,-2.018251517,6.934147757,-4.506124802,10.22276346,1.51878395,-5.189789141,-0.735659159,4.349093279,1.570738702,-5.189024353,6.153377063,2.704868828,-1.089933341,-7.156949656,-2.467213778,9.133110567,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946,5.243044499
