Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,398268156.4,473296089.4,579608938.5,684245810.1,757039106.1,864301676,948994413.4,1065363128,1225810056,1305474860,1362067039,1508659218,1659776536,1680223464,1849162011,1839385475,1826312849,1990837989,2180446927,1880837989,2363966480,2293016760,2726368715,2464860335,2313407821,2391955307,2498994413,2563575419,2688324022,2838379888,2848547486,2921620112,3061439106,3242497765,2541919162,3033186816,
Africa Eastern and Southern,AFE,GNI (current US$),NY.GNP.MKTP.CD,17106694565,17864843375,18967102198,20593483262,22300831489,24782581235,26891991766,29708756258,32157434835,36185927440,39505456319,43272245271,46530708110,61022522695,75010962997,79503603417,79459780327,88541780077,98982139746,1.17542E+11,1.55282E+11,1.63005E+11,1.5323E+11,1.64026E+11,1.51577E+11,1.25321E+11,1.40441E+11,1.73471E+11,1.89073E+11,2.04146E+11,2.36087E+11,2.5756E+11,2.24842E+11,2.23776E+11,2.27839E+11,2.59123E+11,2.58023E+11,2.7203E+11,2.54595E+11,2.50793E+11,2.71974E+11,2.46866E+11,2.5393E+11,3.39645E+11,4.23224E+11,4.92925E+11,5.52247E+11,6.29625E+11,6.69176E+11,6.91838E+11,8.23365E+11,9.23987E+11,9.37758E+11,9.45908E+11,9.68853E+11,8.95755E+11,8.62413E+11,9.8979E+11,9.7782E+11,9.72398E+11,9.0754E+11,1.05553E+12,1.13978E+12
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,548888848.9,560000022.2,557777806.7,766666706.7,815555562.2,1026666678,1428888871,1708888882,1402222182,1437777738,1784444427,1868886653,1631108938,1771108944,2202222229,2417777778,2611111162,3017777698,3371111038,3775743789,3716553247,3551514996,,,,,,,,,,,,,,,,,,,,,,,,,,,,12120176205,15661382531,18170579462,20235386309,20636233967,20548204591,20178932634,18199122412,19145018172,18610269530,19205027114,20332393769,14705487686,
Africa Western and Central,AFW,GNI (current US$),NY.GNP.MKTP.CD,10212992278,10935512850,11808034517,12599995514,13735348494,14701456141,15737812213,14151816949,14467027797,16442132669,22804914559,19916211739,24078760155,30285808939,42854841149,50129486255,60522993593,63803970626,70059130652,86992284594,1.06596E+11,2.07482E+11,1.84348E+11,1.35539E+11,1.1205E+11,1.13844E+11,1.04707E+11,1.06287E+11,1.06511E+11,97198818488,1.15529E+11,1.11736E+11,1.12133E+11,93041673077,81597132013,1.02634E+11,1.14212E+11,1.15797E+11,1.18236E+11,1.27205E+11,1.2478E+11,1.33851E+11,1.60239E+11,1.84405E+11,2.28218E+11,2.81105E+11,3.76557E+11,4.36269E+11,5.30794E+11,4.74864E+11,5.56256E+11,6.32433E+11,6.90021E+11,7.81464E+11,8.60884E+11,7.46468E+11,6.72849E+11,6.60552E+11,7.34967E+11,7.93017E+11,7.58473E+11,8.102E+11,8.44902E+11
Angola,AGO,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6684938833,6684938833,6684938833,6684938833,10027408249,10027408249,12704558517,6363937686,6202618884,1484500000,4790851852,5830078378,6730621460,5537462252,4780892936,7448734815,7375089252,13650936354,16086223657,21068467531,32940051723,46203173486,57667373088,74821164106,63484029912,73815311614,99943407585,1.14825E+11,1.23741E+11,1.28909E+11,82784875171,47241256785,64733551804,71783442934,63042950936,45728623872,60361495232,98720024001
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1860538012,1898450133,2097426250,2081196250,2051436250,2252990000,2026653750,1077859028,617074990.2,1219215469,1894750858,2436364853,3271323100,2308847103,2622487166,3287389862,3585007222,4048094111,4457186384,5762066193,7353974653,8214108538,9158294206,10975296979,12946373389,11852736948,11807769475,12894099756,12228069234,12996543394,13349419700,11521811424,12053832974,13051517644,15137984898,15200244542,14912504602,17680966715,18535091967
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462355543,,,
Arab World,ARB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,46837501298,53289673777,63414521772,79987809545,1.57144E+11,1.79077E+11,2.25449E+11,2.55565E+11,2.83818E+11,3.75677E+11,5.11175E+11,5.17123E+11,4.86471E+11,4.6257E+11,4.70268E+11,4.63871E+11,4.54745E+11,4.84459E+11,4.86688E+11,5.18545E+11,7.30211E+11,4.80749E+11,4.75748E+11,4.84562E+11,5.01594E+11,5.58108E+11,6.05456E+11,6.54171E+11,6.42476E+11,7.05009E+11,8.00898E+11,7.88539E+11,7.97269E+11,8.7948E+11,1.05116E+12,1.28546E+12,1.54054E+12,1.80248E+12,2.26106E+12,1.97418E+12,2.30185E+12,2.52923E+12,2.78401E+12,2.84892E+12,2.9016E+12,2.56179E+12,2.55175E+12,2.64934E+12,2.84439E+12,2.86697E+12,2.53121E+12,2.92939E+12,3.54572E+12
United Arab Emirates,ARE,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09429E+11,1.08376E+11,1.10737E+11,1.24292E+11,1.48532E+11,1.83504E+11,2.26854E+11,2.66289E+11,3.19279E+11,2.56161E+11,2.89704E+11,3.50801E+11,3.8491E+11,4.00681E+11,4.14764E+11,3.72018E+11,3.71352E+11,3.93294E+11,4.28474E+11,4.20059E+11,3.47594E+11,4.14286E+11,5.05046E+11
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,,,25083407627,18744951948,26267861213,29078234021,29796191128,24344243039,26044571827,31036571603,30396317997,33634600191,34199500220,52722220654,72679890117,53148109438,51185002823,56339203222,88487714887,68626165139,76286574003,76842107526,79243829293,98072174235,1.10861E+11,83420985728,1.01089E+11,1.03754E+11,1.2137E+11,70212893608,1.3515E+11,1.83857E+11,2.24521E+11,2.33744E+11,2.53743E+11,2.53363E+11,2.66648E+11,2.86641E+11,2.91542E+11,2.76059E+11,2.76656E+11,2.6097E+11,92763789033,1.22452E+11,1.46362E+11,1.76153E+11,2.24897E+11,2.79994E+11,3.52615E+11,3.22744E+11,4.09192E+11,5.15005E+11,5.33074E+11,5.40186E+11,5.15532E+11,5.83615E+11,5.45252E+11,6.272E+11,5.06094E+11,4.30167E+11,3.75536E+11,4.77412E+11,6.21442E+11
