"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","1995",58.16976,
"AUS","GGDEBT","TOT","PC_GDP","A","1996",55.0728,
"AUS","GGDEBT","TOT","PC_GDP","A","1997",53.5203,
"AUS","GGDEBT","TOT","PC_GDP","A","1998",50.26174,
"AUS","GGDEBT","TOT","PC_GDP","A","1999",42.84535,
"AUS","GGDEBT","TOT","PC_GDP","A","2000",38.87846,
"AUS","GGDEBT","TOT","PC_GDP","A","2001",38.41173,
"AUS","GGDEBT","TOT","PC_GDP","A","2002",36.75184,
"AUS","GGDEBT","TOT","PC_GDP","A","2003",33.99129,
"AUS","GGDEBT","TOT","PC_GDP","A","2004",30.7599,
"AUS","GGDEBT","TOT","PC_GDP","A","2005",28.86788,
"AUS","GGDEBT","TOT","PC_GDP","A","2006",28.368,
"AUS","GGDEBT","TOT","PC_GDP","A","2007",27.3892,
"AUS","GGDEBT","TOT","PC_GDP","A","2008",29.81709,
"AUS","GGDEBT","TOT","PC_GDP","A","2009",38.46537,
"AUS","GGDEBT","TOT","PC_GDP","A","2010",41.51521,
"AUS","GGDEBT","TOT","PC_GDP","A","2011",45.62855,
"AUS","GGDEBT","TOT","PC_GDP","A","2012",58.37347,
"AUS","GGDEBT","TOT","PC_GDP","A","2013",55.03674,
"AUS","GGDEBT","TOT","PC_GDP","A","2014",60.5449,
"AUS","GGDEBT","TOT","PC_GDP","A","2015",64.02628,
"AUS","GGDEBT","TOT","PC_GDP","A","2016",68.79545,
"AUS","GGDEBT","TOT","PC_GDP","A","2017",66.17329,
"AUS","GGDEBT","TOT","PC_GDP","A","2018",66.76436,
"AUS","GGDEBT","TOT","PC_GDP","A","2019",76.43507,
"AUS","GGDEBT","TOT","PC_GDP","A","2020",91.20518,
"AUS","GGDEBT","TOT","PC_GDP","A","2021",83.1094,
"AUS","GGDEBT","TOT","PC_GDP","A","2022",70.76098,
"AUT","GGDEBT","TOT","PC_GDP","A","1995",69.17403,
"AUT","GGDEBT","TOT","PC_GDP","A","1996",69.71158,
"AUT","GGDEBT","TOT","PC_GDP","A","1997",65.372,
"AUT","GGDEBT","TOT","PC_GDP","A","1998",67.11701,
"AUT","GGDEBT","TOT","PC_GDP","A","1999",70.72529,
"AUT","GGDEBT","TOT","PC_GDP","A","2000",71.04991,
"AUT","GGDEBT","TOT","PC_GDP","A","2001",72.1219,
"AUT","GGDEBT","TOT","PC_GDP","A","2002",74.02462,
"AUT","GGDEBT","TOT","PC_GDP","A","2003",72.53215,
"AUT","GGDEBT","TOT","PC_GDP","A","2004",71.7653,
"AUT","GGDEBT","TOT","PC_GDP","A","2005",76.25182,
"AUT","GGDEBT","TOT","PC_GDP","A","2006",72.68636,
"AUT","GGDEBT","TOT","PC_GDP","A","2007",68.96463,
"AUT","GGDEBT","TOT","PC_GDP","A","2008",74.19278,
"AUT","GGDEBT","TOT","PC_GDP","A","2009",86.33044,
"AUT","GGDEBT","TOT","PC_GDP","A","2010",90.54397,
"AUT","GGDEBT","TOT","PC_GDP","A","2011",91.4737,
"AUT","GGDEBT","TOT","PC_GDP","A","2012",97.33756,
"AUT","GGDEBT","TOT","PC_GDP","A","2013",94.3597,
"AUT","GGDEBT","TOT","PC_GDP","A","2014",101.8692,
"AUT","GGDEBT","TOT","PC_GDP","A","2015",101.2852,
"AUT","GGDEBT","TOT","PC_GDP","A","2016",102.5335,
"AUT","GGDEBT","TOT","PC_GDP","A","2017",96.27682,
"AUT","GGDEBT","TOT","PC_GDP","A","2018",90.86761,
"AUT","GGDEBT","TOT","PC_GDP","A","2019",89.2981,
"AUT","GGDEBT","TOT","PC_GDP","A","2020",107.1408,
"AUT","GGDEBT","TOT","PC_GDP","A","2021",101.5864,
"AUT","GGDEBT","TOT","PC_GDP","A","2022",80.51881,
"BEL","GGDEBT","TOT","PC_GDP","A","1995",141.232,
"BEL","GGDEBT","TOT","PC_GDP","A","1996",143.2926,
"BEL","GGDEBT","TOT","PC_GDP","A","1997",137.9549,
"BEL","GGDEBT","TOT","PC_GDP","A","1998",139.397,
"BEL","GGDEBT","TOT","PC_GDP","A","1999",127.9947,
"BEL","GGDEBT","TOT","PC_GDP","A","2000",121.6588,
"BEL","GGDEBT","TOT","PC_GDP","A","2001",120.0464,
"BEL","GGDEBT","TOT","PC_GDP","A","2002",119.5324,
"BEL","GGDEBT","TOT","PC_GDP","A","2003",115.7454,
"BEL","GGDEBT","TOT","PC_GDP","A","2004",111.3621,
"BEL","GGDEBT","TOT","PC_GDP","A","2005",108.9884,
"BEL","GGDEBT","TOT","PC_GDP","A","2006",101.0699,
"BEL","GGDEBT","TOT","PC_GDP","A","2007",94.63382,
"BEL","GGDEBT","TOT","PC_GDP","A","2008",102.3672,
"BEL","GGDEBT","TOT","PC_GDP","A","2009",110.7297,
"BEL","GGDEBT","TOT","PC_GDP","A","2010",108.6702,
"BEL","GGDEBT","TOT","PC_GDP","A","2011",111.6105,
"BEL","GGDEBT","TOT","PC_GDP","A","2012",120.9803,
