"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2008",-1.04,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2009",0.52,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2010",0.3,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2011",-0.12,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2012",0.58,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2013",0.41,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2014",-1.72,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2015",0.52,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2016",1.19,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2017",0.69,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2018",0.66,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2019",1.39,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2020",3.69,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2021",-3.09,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2008",0.56,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2009",-0.39,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2010",0.69,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2011",0.7,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2012",0.9,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2013",-0.82,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2014",1.54,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2015",2.34,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2016",1.24,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2017",1.71,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2018",2.04,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2019",1.92,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2020",3.27,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2021",1.99,
"OECD","HHDI","GROSS","PC_CHGPPCAP","A","2022",-3.63,
