"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","LTINT","TOT","PC_PA","A","1994",10.47833,
"PRT","LTINT","TOT","PC_PA","A","1995",11.465,
"PRT","LTINT","TOT","PC_PA","A","1996",8.559167,
"PRT","LTINT","TOT","PC_PA","A","1997",6.358333,
"PRT","LTINT","TOT","PC_PA","A","1998",4.8775,
"PRT","LTINT","TOT","PC_PA","A","1999",4.7775,
"PRT","LTINT","TOT","PC_PA","A","2000",5.595,
"PRT","LTINT","TOT","PC_PA","A","2001",5.158333,
"PRT","LTINT","TOT","PC_PA","A","2002",5.005833,
"PRT","LTINT","TOT","PC_PA","A","2003",4.178333,
"PRT","LTINT","TOT","PC_PA","A","2004",4.143333,
"PRT","LTINT","TOT","PC_PA","A","2005",3.4375,
"PRT","LTINT","TOT","PC_PA","A","2006",3.915,
"PRT","LTINT","TOT","PC_PA","A","2007",4.423333,
"PRT","LTINT","TOT","PC_PA","A","2008",4.519166,
"PRT","LTINT","TOT","PC_PA","A","2009",4.210834,
"PRT","LTINT","TOT","PC_PA","A","2010",5.395833,
"PRT","LTINT","TOT","PC_PA","A","2011",10.23917,
"PRT","LTINT","TOT","PC_PA","A","2012",10.5475,
"PRT","LTINT","TOT","PC_PA","A","2013",6.294167,
"PRT","LTINT","TOT","PC_PA","A","2014",3.754167,
"PRT","LTINT","TOT","PC_PA","A","2015",2.423333,
"PRT","LTINT","TOT","PC_PA","A","2016",3.171667,
"PRT","LTINT","TOT","PC_PA","A","2017",3.0525,
"PRT","LTINT","TOT","PC_PA","A","2018",1.839167,
"PRT","LTINT","TOT","PC_PA","A","2019",0.7575,
"PRT","LTINT","TOT","PC_PA","A","2020",0.4166667,
"PRT","LTINT","TOT","PC_PA","A","2021",0.295,
"NOR","LTINT","TOT","PC_PA","A","1985",12.91167,
"NOR","LTINT","TOT","PC_PA","A","1986",13.29917,
"NOR","LTINT","TOT","PC_PA","A","1987",13.305,
"NOR","LTINT","TOT","PC_PA","A","1988",12.89583,
"NOR","LTINT","TOT","PC_PA","A","1989",10.82583,
"NOR","LTINT","TOT","PC_PA","A","1990",10.68,
"NOR","LTINT","TOT","PC_PA","A","1991",9.996667,
"NOR","LTINT","TOT","PC_PA","A","1992",9.606667,
"NOR","LTINT","TOT","PC_PA","A","1993",6.880833,
"NOR","LTINT","TOT","PC_PA","A","1994",7.435833,
"NOR","LTINT","TOT","PC_PA","A","1995",7.424167,
"NOR","LTINT","TOT","PC_PA","A","1996",6.773334,
"NOR","LTINT","TOT","PC_PA","A","1997",5.888333,
"NOR","LTINT","TOT","PC_PA","A","1998",5.4,
"NOR","LTINT","TOT","PC_PA","A","1999",5.4975,
"NOR","LTINT","TOT","PC_PA","A","2000",6.218333,
"NOR","LTINT","TOT","PC_PA","A","2001",6.236667,
"NOR","LTINT","TOT","PC_PA","A","2002",6.384167,
"NOR","LTINT","TOT","PC_PA","A","2003",5.045,
"NOR","LTINT","TOT","PC_PA","A","2004",4.368333,
"NOR","LTINT","TOT","PC_PA","A","2005",3.745833,
"NOR","LTINT","TOT","PC_PA","A","2006",4.076667,
"NOR","LTINT","TOT","PC_PA","A","2007",4.774167,
"NOR","LTINT","TOT","PC_PA","A","2008",4.458333,
"NOR","LTINT","TOT","PC_PA","A","2009",3.998333,
"NOR","LTINT","TOT","PC_PA","A","2010",3.528333,
"NOR","LTINT","TOT","PC_PA","A","2011",3.135,
"NOR","LTINT","TOT","PC_PA","A","2012",2.101667,
"NOR","LTINT","TOT","PC_PA","A","2013",2.5775,
"NOR","LTINT","TOT","PC_PA","A","2014",2.515,
"NOR","LTINT","TOT","PC_PA","A","2015",1.565,
"NOR","LTINT","TOT","PC_PA","A","2016",1.331667,
"NOR","LTINT","TOT","PC_PA","A","2017",1.6375,
"NOR","LTINT","TOT","PC_PA","A","2018",1.879167,
"NOR","LTINT","TOT","PC_PA","A","2019",1.494167,
"NOR","LTINT","TOT","PC_PA","A","2020",0.8175,
"NOR","LTINT","TOT","PC_PA","A","2021",1.41587,
"AUS","LTINT","TOT","PC_PA","A","1970",6.646667,
"AUS","LTINT","TOT","PC_PA","A","1971",6.713333,
"AUS","LTINT","TOT","PC_PA","A","1972",5.831666,
"AUS","LTINT","TOT","PC_PA","A","1973",6.933333,
"AUS","LTINT","TOT","PC_PA","A","1974",9.036667,
"AUS","LTINT","TOT","PC_PA","A","1975",9.741667,
"AUS","LTINT","TOT","PC_PA","A","1976",10.03083,
"AUS","LTINT","TOT","PC_PA","A","1977",10.22667,
"AUS","LTINT","TOT","PC_PA","A","1978",9.06,
"AUS","LTINT","TOT","PC_PA","A","1979",9.749166,
"AUS","LTINT","TOT","PC_PA","A","1980",11.6475,
"AUS","LTINT","TOT","PC_PA","A","1981",13.95833,
"AUS","LTINT","TOT","PC_PA","A","1982",15.375,
"AUS","LTINT","TOT","PC_PA","A","1983",13.8875,
"AUS","LTINT","TOT","PC_PA","A","1984",13.525,
"AUS","LTINT","TOT","PC_PA","A","1985",13.95417,
"AUS","LTINT","TOT","PC_PA","A","1986",13.41667,
"AUS","LTINT","TOT","PC_PA","A","1987",13.19167,
"AUS","LTINT","TOT","PC_PA","A","1988",12.10417,
"AUS","LTINT","TOT","PC_PA","A","1989",13.40833,
"AUS","LTINT","TOT","PC_PA","A","1990",13.18,
"AUS","LTINT","TOT","PC_PA","A","1991",10.69083,
"AUS","LTINT","TOT","PC_PA","A","1992",9.22,
"AUS","LTINT","TOT","PC_PA","A","1993",7.280833,
"AUS","LTINT","TOT","PC_PA","A","1994",9.041667,
"AUS","LTINT","TOT","PC_PA","A","1995",9.210896,
"AUS","LTINT","TOT","PC_PA","A","1996",8.209207,
"AUS","LTINT","TOT","PC_PA","A","1997",6.954918,
"AUS","LTINT","TOT","PC_PA","A","1998",5.49297,
"AUS","LTINT","TOT","PC_PA","A","1999",6.009312,
"AUS","LTINT","TOT","PC_PA","A","2000",6.314569,
"AUS","LTINT","TOT","PC_PA","A","2001",5.615264,
"AUS","LTINT","TOT","PC_PA","A","2002",5.843958,
"AUS","LTINT","TOT","PC_PA","A","2003",5.366776,
"AUS","LTINT","TOT","PC_PA","A","2004",5.590775,
"AUS","LTINT","TOT","PC_PA","A","2005",5.339973,
"AUS","LTINT","TOT","PC_PA","A","2006",5.587872,
"AUS","LTINT","TOT","PC_PA","A","2007",5.994521,
"AUS","LTINT","TOT","PC_PA","A","2008",5.817944,
"AUS","LTINT","TOT","PC_PA","A","2009",5.039512,
"AUS","LTINT","TOT","PC_PA","A","2010",5.366042,
"AUS","LTINT","TOT","PC_PA","A","2011",4.879583,
"AUS","LTINT","TOT","PC_PA","A","2012",3.379167,
"AUS","LTINT","TOT","PC_PA","A","2013",3.697292,
"AUS","LTINT","TOT","PC_PA","A","2014",3.656667,
"AUS","LTINT","TOT","PC_PA","A","2015",2.710833,
"AUS","LTINT","TOT","PC_PA","A","2016",2.336667,
