"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","M1","TOT","IDX2015","A","1961",0.491314,
"AUS","M1","TOT","IDX2015","A","1962",0.5005343,
"AUS","M1","TOT","IDX2015","A","1963",0.5179534,
"AUS","M1","TOT","IDX2015","A","1964",0.5574037,
"AUS","M1","TOT","IDX2015","A","1965",0.5609198,
"AUS","M1","TOT","IDX2015","A","1966",0.571995,
"AUS","M1","TOT","IDX2015","A","1967",0.6111645,
"AUS","M1","TOT","IDX2015","A","1968",0.6545953,
"AUS","M1","TOT","IDX2015","A","1969",0.7068931,
"AUS","M1","TOT","IDX2015","A","1970",0.7509463,
"AUS","M1","TOT","IDX2015","A","1971",0.7872384,
"AUS","M1","TOT","IDX2015","A","1972",0.8714032,
"AUS","M1","TOT","IDX2015","A","1973",1.072699,
"AUS","M1","TOT","IDX2015","A","1974",1.118143,
"AUS","M1","TOT","IDX2015","A","1975",1.304877,
"AUS","M1","TOT","IDX2015","A","1976",1.49723,
"AUS","M1","TOT","IDX2015","A","1977",1.62398,
"AUS","M1","TOT","IDX2015","A","1978",1.762308,
"AUS","M1","TOT","IDX2015","A","1979",2.043229,
"AUS","M1","TOT","IDX2015","A","1980",2.338166,
"AUS","M1","TOT","IDX2015","A","1981",2.581915,
"AUS","M1","TOT","IDX2015","A","1982",2.638587,
"AUS","M1","TOT","IDX2015","A","1983",2.799461,
"AUS","M1","TOT","IDX2015","A","1984",3.101711,
"AUS","M1","TOT","IDX2015","A","1985",3.44296,
"AUS","M1","TOT","IDX2015","A","1986",3.701334,
"AUS","M1","TOT","IDX2015","A","1987",4.353364,
"AUS","M1","TOT","IDX2015","A","1988",5.15408,
"AUS","M1","TOT","IDX2015","A","1989",5.946875,
"AUS","M1","TOT","IDX2015","A","1990",6.172952,
"AUS","M1","TOT","IDX2015","A","1991",6.692139,
"AUS","M1","TOT","IDX2015","A","1992",7.869448,
"AUS","M1","TOT","IDX2015","A","1993",9.283804,
"AUS","M1","TOT","IDX2015","A","1994",10.76092,
"AUS","M1","TOT","IDX2015","A","1995",11.26061,
"AUS","M1","TOT","IDX2015","A","1996",12.62561,
"AUS","M1","TOT","IDX2015","A","1997",14.42021,
"AUS","M1","TOT","IDX2015","A","1998",15.87905,
"AUS","M1","TOT","IDX2015","A","1999",17.13436,
"AUS","M1","TOT","IDX2015","A","2000",18.76809,
"AUS","M1","TOT","IDX2015","A","2001",21.5968,
"AUS","M1","TOT","IDX2015","A","2002",28.34927,
"AUS","M1","TOT","IDX2015","A","2003",32.18588,
"AUS","M1","TOT","IDX2015","A","2004",34.84945,
"AUS","M1","TOT","IDX2015","A","2005",38.0901,
"AUS","M1","TOT","IDX2015","A","2006",42.13573,
"AUS","M1","TOT","IDX2015","A","2007",47.79316,
"AUS","M1","TOT","IDX2015","A","2008",51.47011,
"AUS","M1","TOT","IDX2015","A","2009",59.51019,
"AUS","M1","TOT","IDX2015","A","2010",61.22496,
"AUS","M1","TOT","IDX2015","A","2011",64.81721,
"AUS","M1","TOT","IDX2015","A","2012",67.8129,
"AUS","M1","TOT","IDX2015","A","2013",77.32095,
"AUS","M1","TOT","IDX2015","A","2014",87.21169,
"AUS","M1","TOT","IDX2015","A","2015",100,
"AUS","M1","TOT","IDX2015","A","2016",109.8286,
"AUS","M1","TOT","IDX2015","A","2017",120.1678,
"AUS","M1","TOT","IDX2015","A","2018",126.9568,
"AUS","M1","TOT","IDX2015","A","2019",140.4959,
"AUS","M1","TOT","IDX2015","A","2020",181.7992,
"AUS","M1","TOT","IDX2015","A","2021",218.1794,
"AUS","M1","TOT","IDX2015","A","2022",242.9273,
"CAN","M1","TOT","IDX2015","A","1955",1.112291,
"CAN","M1","TOT","IDX2015","A","1956",1.123932,
"CAN","M1","TOT","IDX2015","A","1957",1.105941,
"CAN","M1","TOT","IDX2015","A","1958",1.211773,
"CAN","M1","TOT","IDX2015","A","1959",1.241405,
"CAN","M1","TOT","IDX2015","A","1960",1.256222,
"CAN","M1","TOT","IDX2015","A","1961",1.322896,
"CAN","M1","TOT","IDX2015","A","1962",1.367345,
"CAN","M1","TOT","IDX2015","A","1963",1.444602,
"CAN","M1","TOT","IDX2015","A","1964",1.520801,
"CAN","M1","TOT","IDX2015","A","1965",1.618166,
"CAN","M1","TOT","IDX2015","A","1966",1.727173,
"CAN","M1","TOT","IDX2015","A","1967",1.896504,
"CAN","M1","TOT","IDX2015","A","1968",1.985402,
"CAN","M1","TOT","IDX2015","A","1969",2.1251,
"CAN","M1","TOT","IDX2015","A","1970",2.179074,
