Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,-14581005.59,-7430167.598,-26312849.16,-38770949.72,-149273743,-199217877.1,33854748.6,42849162.01,85027932.96,-25586592.18,-53631284.92,-167541899.4,-14357541.9,-339905027.9,309776536.3,430458100.6,-137737430.2,-24379888.27,453525139.7,716110922.9,546729298.5,766368715.1,247765363.1,344357541.9,-248938547.5,101005586.6,281620111.7,-102680590.5,39400255.79,308640824.1,333530343.3,267547883.9,287147825.6,321664233.5,-200488449.9,253587682.8,423839378.9
Africa Eastern and Southern,AFE,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,-205100000,-176800000,-337700000,-212700000,-263000000,-579800000,-407500000,-793800000,-486500000,-328400000,-466400000,,,,,,,,,,,,,,,,,,,-1877652994,-1956521858,-3205300951,-4149500356,-7442378553,-8671425448,-6261263544,-7044964161,-6191463867,-6803560118,-6378166942,-5855061056,-5506547001,,
Africa Western and Central,AFW,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,388000000,-211000000,689000000,114000000,651000000,606900000,434300000,-54757000,-18200000,149800000,316690000,898908000,-57120000,-1049830000,-394130000,2449010000,39510000,1452563748,908005425.5,3163257045,9142016031,17057651830,18402195772,21121860427,-378203335.8,16030508138,24144210613,26025090817,20169149502,7313313527,-3531471369,2642737293,7341498050,15501535712,12880814227,5858757656,14829788601,21556000870
Albania,ALB,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,6700000,27400000,-86700000,-50900000,-37800000,-43500000,-9000000,-2100000,-34300000,-49800000,-131400000,-232200000,-539300000,-574200000,-513100000,-532500000,-738500000,-586432500,-646330000,-556700000,-795800000,-936900000,-1160330000,-1419161206,-1642928989,-2039576837,-2203548908,-2879743004,-3446126996,-2967394173,-2456390642,-2932716633,-2296761241,-2308765606,-2506992158,-1966180769,-2001510213,-1978658722,-2069586882,-2103429046,-2210461796,-2392168078,-1959879935
Andorra,AND,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302799704.9,114551911.2,271153904.5,
Arab World,ARB,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,,,,,,,,,,,,,,,,,1125000000,1836000000,2456000000,337000000,-3285000000,-1006000000,2320000000,2947000000,3204000000,4342000000,1543000000,245000000,3555000000,5109000000,7954000000,2820000000,-3953300000,-5689240000,-7917900000,-1078685000,-1787449424,-6507815237,-7541547974,-4905758056,-1831883472,3521810644,15717280000,15611500000,11933610000,12095220000,13266642573,12570579976,13340936973,16652818510,12343520649,9198443050,10943688063,-693680874.4,900177659.5,-6600221086,-4035498244,-15142501700,-9678495464,13390550041,12094415411,15093471232,5443172027
