"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","OLDAGEDEP","TOT","PC","A","1950",9.9,
"JPN","OLDAGEDEP","TOT","PC","A","1951",10.1,
"JPN","OLDAGEDEP","TOT","PC","A","1952",10.2,
"JPN","OLDAGEDEP","TOT","PC","A","1953",10.2,
"JPN","OLDAGEDEP","TOT","PC","A","1954",10.3,
"JPN","OLDAGEDEP","TOT","PC","A","1955",10.3,
"JPN","OLDAGEDEP","TOT","PC","A","1956",10.4,
"JPN","OLDAGEDEP","TOT","PC","A","1957",10.4,
"JPN","OLDAGEDEP","TOT","PC","A","1958",10.5,
"JPN","OLDAGEDEP","TOT","PC","A","1959",10.5,
"JPN","OLDAGEDEP","TOT","PC","A","1960",10.6,
"JPN","OLDAGEDEP","TOT","PC","A","1961",10.6,
"JPN","OLDAGEDEP","TOT","PC","A","1962",10.7,
"JPN","OLDAGEDEP","TOT","PC","A","1963",10.8,
"JPN","OLDAGEDEP","TOT","PC","A","1964",10.9,
"JPN","OLDAGEDEP","TOT","PC","A","1965",11,
"JPN","OLDAGEDEP","TOT","PC","A","1966",11.1,
"JPN","OLDAGEDEP","TOT","PC","A","1967",11.3,
"JPN","OLDAGEDEP","TOT","PC","A","1968",11.4,
"JPN","OLDAGEDEP","TOT","PC","A","1969",11.5,
"JPN","OLDAGEDEP","TOT","PC","A","1970",11.7,
"JPN","OLDAGEDEP","TOT","PC","A","1971",11.9,
"JPN","OLDAGEDEP","TOT","PC","A","1972",12.1,
"JPN","OLDAGEDEP","TOT","PC","A","1973",12.4,
"JPN","OLDAGEDEP","TOT","PC","A","1974",12.7,
"JPN","OLDAGEDEP","TOT","PC","A","1975",12.7,
"JPN","OLDAGEDEP","TOT","PC","A","1976",13.4,
"JPN","OLDAGEDEP","TOT","PC","A","1977",13.8,
"JPN","OLDAGEDEP","TOT","PC","A","1978",14.2,
"JPN","OLDAGEDEP","TOT","PC","A","1979",14.6,
"JPN","OLDAGEDEP","TOT","PC","A","1980",15,
"JPN","OLDAGEDEP","TOT","PC","A","1981",15.4,
"JPN","OLDAGEDEP","TOT","PC","A","1982",15.7,
"JPN","OLDAGEDEP","TOT","PC","A","1983",16,
"JPN","OLDAGEDEP","TOT","PC","A","1984",16.4,
"JPN","OLDAGEDEP","TOT","PC","A","1985",16.8,
"JPN","OLDAGEDEP","TOT","PC","A","1986",17.2,
"JPN","OLDAGEDEP","TOT","PC","A","1987",17.7,
"JPN","OLDAGEDEP","TOT","PC","A","1988",18.2,
"JPN","OLDAGEDEP","TOT","PC","A","1989",18.8,
"JPN","OLDAGEDEP","TOT","PC","A","1990",19.3,
"JPN","OLDAGEDEP","TOT","PC","A","1991",20,
"JPN","OLDAGEDEP","TOT","PC","A","1992",20.7,
"JPN","OLDAGEDEP","TOT","PC","A","1993",21.4,
"JPN","OLDAGEDEP","TOT","PC","A","1994",22.2,
"JPN","OLDAGEDEP","TOT","PC","A","1995",23,
"JPN","OLDAGEDEP","TOT","PC","A","1996",23.8,
"JPN","OLDAGEDEP","TOT","PC","A","1997",24.7,
"JPN","OLDAGEDEP","TOT","PC","A","1998",25.7,
"JPN","OLDAGEDEP","TOT","PC","A","1999",26.6,
"JPN","OLDAGEDEP","TOT","PC","A","2000",27.3,
"JPN","OLDAGEDEP","TOT","PC","A","2001",28.5,
"JPN","OLDAGEDEP","TOT","PC","A","2002",29.5,
"JPN","OLDAGEDEP","TOT","PC","A","2003",30.4,
"JPN","OLDAGEDEP","TOT","PC","A","2004",31.4,
"JPN","OLDAGEDEP","TOT","PC","A","2005",32.4,
"JPN","OLDAGEDEP","TOT","PC","A","2006",33.6,
"JPN","OLDAGEDEP","TOT","PC","A","2007",34.8,
"JPN","OLDAGEDEP","TOT","PC","A","2008",36.1,
"JPN","OLDAGEDEP","TOT","PC","A","2009",37.4,
"JPN","OLDAGEDEP","TOT","PC","A","2010",38.9,
"JPN","OLDAGEDEP","TOT","PC","A","2011",40.5,
"JPN","OLDAGEDEP","TOT","PC","A","2012",42.2,
"JPN","OLDAGEDEP","TOT","PC","A","2013",44,
"JPN","OLDAGEDEP","TOT","PC","A","2014",45.7,
"JPN","OLDAGEDEP","TOT","PC","A","2015",46.2,
"JPN","OLDAGEDEP","TOT","PC","A","2017",49.9,
"JPN","OLDAGEDEP","TOT","PC","A","2019",51.9,
"JPN","OLDAGEDEP","TOT","PC","A","2020",52,
"JPN","OLDAGEDEP","TOT","PC","A","2021",53.4,
"JPN","OLDAGEDEP","TOT","PC","A","2022",54,
"JPN","OLDAGEDEP","TOT","PC","A","2023",54.5,
"JPN","OLDAGEDEP","TOT","PC","A","2024",54.9,
"JPN","OLDAGEDEP","TOT","PC","A","2025",54.4,
"JPN","OLDAGEDEP","TOT","PC","A","2026",55.8,
"JPN","OLDAGEDEP","TOT","PC","A","2027",56.4,
"JPN","OLDAGEDEP","TOT","PC","A","2050",80.7,
"JPN","OLDAGEDEP","TOT","PC","A","2075",75.3,
"KOR","OLDAGEDEP","TOT","PC","A","1950",6.3,
"KOR","OLDAGEDEP","TOT","PC","A","1951",6.6,
"KOR","OLDAGEDEP","TOT","PC","A","1952",6.8,
"KOR","OLDAGEDEP","TOT","PC","A","1953",7.1,
"KOR","OLDAGEDEP","TOT","PC","A","1954",7.3,
"KOR","OLDAGEDEP","TOT","PC","A","1955",7.5,
"KOR","OLDAGEDEP","TOT","PC","A","1956",7.7,
"KOR","OLDAGEDEP","TOT","PC","A","1957",7.9,
"KOR","OLDAGEDEP","TOT","PC","A","1958",8.1,
"KOR","OLDAGEDEP","TOT","PC","A","1959",8.1,
"KOR","OLDAGEDEP","TOT","PC","A","1960",8.2,
"KOR","OLDAGEDEP","TOT","PC","A","1961",8.1,
"KOR","OLDAGEDEP","TOT","PC","A","1962",8,
"KOR","OLDAGEDEP","TOT","PC","A","1963",7.9,
"KOR","OLDAGEDEP","TOT","PC","A","1964",7.8,
"KOR","OLDAGEDEP","TOT","PC","A","1965",7.6,
"KOR","OLDAGEDEP","TOT","PC","A","1966",7.6,
"KOR","OLDAGEDEP","TOT","PC","A","1967",7.5,
"KOR","OLDAGEDEP","TOT","PC","A","1968",7.5,
"KOR","OLDAGEDEP","TOT","PC","A","1969",7.4,
"KOR","OLDAGEDEP","TOT","PC","A","1970",7.4,
"KOR","OLDAGEDEP","TOT","PC","A","1971",7.4,
"KOR","OLDAGEDEP","TOT","PC","A","1972",7.4,
"KOR","OLDAGEDEP","TOT","PC","A","1973",7.4,
"KOR","OLDAGEDEP","TOT","PC","A","1974",7.5,
"KOR","OLDAGEDEP","TOT","PC","A","1975",8.2,
"KOR","OLDAGEDEP","TOT","PC","A","1976",7.5,
"KOR","OLDAGEDEP","TOT","PC","A","1977",7.5,
"KOR","OLDAGEDEP","TOT","PC","A","1978",7.5,
"KOR","OLDAGEDEP","TOT","PC","A","1979",7.6,
"KOR","OLDAGEDEP","TOT","PC","A","1980",7.6,
"KOR","OLDAGEDEP","TOT","PC","A","1981",7.6,
"KOR","OLDAGEDEP","TOT","PC","A","1982",7.7,
"KOR","OLDAGEDEP","TOT","PC","A","1983",7.7,
"KOR","OLDAGEDEP","TOT","PC","A","1984",7.8,
"KOR","OLDAGEDEP","TOT","PC","A","1985",7.9,
"KOR","OLDAGEDEP","TOT","PC","A","1986",8,
"KOR","OLDAGEDEP","TOT","PC","A","1987",8.1,
"KOR","OLDAGEDEP","TOT","PC","A","1988",8.2,
"KOR","OLDAGEDEP","TOT","PC","A","1989",8.3,
"KOR","OLDAGEDEP","TOT","PC","A","1990",8.9,
"KOR","OLDAGEDEP","TOT","PC","A","1991",8.6,
"KOR","OLDAGEDEP","TOT","PC","A","1992",8.8,
"KOR","OLDAGEDEP","TOT","PC","A","1993",9,
"KOR","OLDAGEDEP","TOT","PC","A","1994",9.2,
"KOR","OLDAGEDEP","TOT","PC","A","1995",9.5,
"KOR","OLDAGEDEP","TOT","PC","A","1996",9.8,
"KOR","OLDAGEDEP","TOT","PC","A","1997",10.2,
"KOR","OLDAGEDEP","TOT","PC","A","1998",10.6,
"KOR","OLDAGEDEP","TOT","PC","A","1999",11,
"KOR","OLDAGEDEP","TOT","PC","A","2000",11.2,
"KOR","OLDAGEDEP","TOT","PC","A","2001",12,
"KOR","OLDAGEDEP","TOT","PC","A","2002",12.6,
"KOR","OLDAGEDEP","TOT","PC","A","2003",13.2,
"KOR","OLDAGEDEP","TOT","PC","A","2004",13.7,
"KOR","OLDAGEDEP","TOT","PC","A","2005",14.3,
"KOR","OLDAGEDEP","TOT","PC","A","2006",14.8,
"KOR","OLDAGEDEP","TOT","PC","A","2007",15.3,
"KOR","OLDAGEDEP","TOT","PC","A","2008",15.9,
"KOR","OLDAGEDEP","TOT","PC","A","2009",16.4,
"KOR","OLDAGEDEP","TOT","PC","A","2010",16.9,
"KOR","OLDAGEDEP","TOT","PC","A","2011",17.4,
"KOR","OLDAGEDEP","TOT","PC","A","2012",17.9,
"KOR","OLDAGEDEP","TOT","PC","A","2013",18.5,
"KOR","OLDAGEDEP","TOT","PC","A","2014",19,
"KOR","OLDAGEDEP","TOT","PC","A","2015",19.4,
"KOR","OLDAGEDEP","TOT","PC","A","2017",20.9,
"KOR","OLDAGEDEP","TOT","PC","A","2019",22.6,
"KOR","OLDAGEDEP","TOT","PC","A","2020",23.6,
"KOR","OLDAGEDEP","TOT","PC","A","2021",24.8,
