"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","IMMIGINFLOW","TOT","NBR","A","2003",125862,
"AUS","IMMIGINFLOW","TOT","NBR","A","2004",149991,
"AUS","IMMIGINFLOW","TOT","NBR","A","2005",167319,
"AUS","IMMIGINFLOW","TOT","NBR","A","2006",179807,
"AUS","IMMIGINFLOW","TOT","NBR","A","2007",191905,
"AUS","IMMIGINFLOW","TOT","NBR","A","2008",209711,
"AUS","IMMIGINFLOW","TOT","NBR","A","2009",224938,
"AUS","IMMIGINFLOW","TOT","NBR","A","2010",212227,
"AUS","IMMIGINFLOW","TOT","NBR","A","2011",222941,
"AUS","IMMIGINFLOW","TOT","NBR","A","2012",249924,
"AUS","IMMIGINFLOW","TOT","NBR","A","2013",256948,
"AUS","IMMIGINFLOW","TOT","NBR","A","2014",234715,
"AUS","IMMIGINFLOW","TOT","NBR","A","2015",227937,
"AUS","IMMIGINFLOW","TOT","NBR","A","2016",229440,
"AUS","IMMIGINFLOW","TOT","NBR","A","2017",220458,
"AUS","IMMIGINFLOW","TOT","NBR","A","2018",195167,
"AUS","IMMIGINFLOW","TOT","NBR","A","2019",195657,
"AUS","IMMIGINFLOW","TOT","NBR","A","2020",165452,
"AUS","IMMIGINFLOW","TOT","NBR","A","2021",169375,
"AUS","IMMIGINFLOW","TOT","NBR","A","2022",166120,
"AUT","IMMIGINFLOW","TOT","NBR","A","2003",51943,
"AUT","IMMIGINFLOW","TOT","NBR","A","2004",57140,
"AUT","IMMIGINFLOW","TOT","NBR","A","2005",56813,
"AUT","IMMIGINFLOW","TOT","NBR","A","2006",30788,
"AUT","IMMIGINFLOW","TOT","NBR","A","2007",47119,
"AUT","IMMIGINFLOW","TOT","NBR","A","2008",49529,
"AUT","IMMIGINFLOW","TOT","NBR","A","2009",45689,
"AUT","IMMIGINFLOW","TOT","NBR","A","2010",45914,
"AUT","IMMIGINFLOW","TOT","NBR","A","2011",55197,
"AUT","IMMIGINFLOW","TOT","NBR","A","2012",68686,
"AUT","IMMIGINFLOW","TOT","NBR","A","2013",69174,
"AUT","IMMIGINFLOW","TOT","NBR","A","2014",79480,
"AUT","IMMIGINFLOW","TOT","NBR","A","2015",102357,
"AUT","IMMIGINFLOW","TOT","NBR","A","2016",105198,
"AUT","IMMIGINFLOW","TOT","NBR","A","2017",98585,
"AUT","IMMIGINFLOW","TOT","NBR","A","2018",86886,
"AUT","IMMIGINFLOW","TOT","NBR","A","2019",81451,
"AUT","IMMIGINFLOW","TOT","NBR","A","2020",62788,
"AUT","IMMIGINFLOW","TOT","NBR","A","2021",73570,
"AUT","IMMIGINFLOW","TOT","NBR","A","2022",89150,
"BEL","IMMIGINFLOW","TOT","NBR","A","2005",41687,
"BEL","IMMIGINFLOW","TOT","NBR","A","2006",42534,
"BEL","IMMIGINFLOW","TOT","NBR","A","2007",83115,
"BEL","IMMIGINFLOW","TOT","NBR","A","2008",94911,
"BEL","IMMIGINFLOW","TOT","NBR","A","2009",104617,
"BEL","IMMIGINFLOW","TOT","NBR","A","2010",118719,
"BEL","IMMIGINFLOW","TOT","NBR","A","2011",107640,
"BEL","IMMIGINFLOW","TOT","NBR","A","2012",104186,
"BEL","IMMIGINFLOW","TOT","NBR","A","2013",97486,
"BEL","IMMIGINFLOW","TOT","NBR","A","2014",100976,
"BEL","IMMIGINFLOW","TOT","NBR","A","2015",103750,
"BEL","IMMIGINFLOW","TOT","NBR","A","2016",105519,
"BEL","IMMIGINFLOW","TOT","NBR","A","2017",108126,
"BEL","IMMIGINFLOW","TOT","NBR","A","2018",109946,
"BEL","IMMIGINFLOW","TOT","NBR","A","2019",114025,
"BEL","IMMIGINFLOW","TOT","NBR","A","2020",92317,
"BEL","IMMIGINFLOW","TOT","NBR","A","2021",112182,
"BEL","IMMIGINFLOW","TOT","NBR","A","2022",122292,
"CAN","IMMIGINFLOW","TOT","NBR","A","1995",212108,
"CAN","IMMIGINFLOW","TOT","NBR","A","1996",222207,
"CAN","IMMIGINFLOW","TOT","NBR","A","1997",212638,
"CAN","IMMIGINFLOW","TOT","NBR","A","1998",171648,
"CAN","IMMIGINFLOW","TOT","NBR","A","1999",188919,
"CAN","IMMIGINFLOW","TOT","NBR","A","2000",227010,
"CAN","IMMIGINFLOW","TOT","NBR","A","2001",250450,
"CAN","IMMIGINFLOW","TOT","NBR","A","2002",232604,
"CAN","IMMIGINFLOW","TOT","NBR","A","2003",228585,
"CAN","IMMIGINFLOW","TOT","NBR","A","2004",237628,
"CAN","IMMIGINFLOW","TOT","NBR","A","2005",262923,
"CAN","IMMIGINFLOW","TOT","NBR","A","2006",252481,
"CAN","IMMIGINFLOW","TOT","NBR","A","2007",237605,
"CAN","IMMIGINFLOW","TOT","NBR","A","2008",248128,
"CAN","IMMIGINFLOW","TOT","NBR","A","2009",253095,
"CAN","IMMIGINFLOW","TOT","NBR","A","2010",281262,
"CAN","IMMIGINFLOW","TOT","NBR","A","2011",249285,
"CAN","IMMIGINFLOW","TOT","NBR","A","2012",258341,
"CAN","IMMIGINFLOW","TOT","NBR","A","2013",262780,
"CAN","IMMIGINFLOW","TOT","NBR","A","2014",261516,
"CAN","IMMIGINFLOW","TOT","NBR","A","2015",275790,
"CAN","IMMIGINFLOW","TOT","NBR","A","2016",296741,
"CAN","IMMIGINFLOW","TOT","NBR","A","2017",286494,
"CAN","IMMIGINFLOW","TOT","NBR","A","2018",321043,
"CAN","IMMIGINFLOW","TOT","NBR","A","2019",341183,
"CAN","IMMIGINFLOW","TOT","NBR","A","2020",184535,
"CAN","IMMIGINFLOW","TOT","NBR","A","2021",406035,
"CAN","IMMIGINFLOW","TOT","NBR","A","2022",437535,
"CZE","IMMIGINFLOW","TOT","NBR","A","1997",12812,
"CZE","IMMIGINFLOW","TOT","NBR","A","1998",10702,
"CZE","IMMIGINFLOW","TOT","NBR","A","1999",9870,
"CZE","IMMIGINFLOW","TOT","NBR","A","2000",7766,
"CZE","IMMIGINFLOW","TOT","NBR","A","2001",12880,
"CZE","IMMIGINFLOW","TOT","NBR","A","2002",42789,
"CZE","IMMIGINFLOW","TOT","NBR","A","2003",54861,
"CZE","IMMIGINFLOW","TOT","NBR","A","2004",48155,
"CZE","IMMIGINFLOW","TOT","NBR","A","2005",56858,
"CZE","IMMIGINFLOW","TOT","NBR","A","2006",64067,
"CZE","IMMIGINFLOW","TOT","NBR","A","2007",100577,
"CZE","IMMIGINFLOW","TOT","NBR","A","2008",76151,
"CZE","IMMIGINFLOW","TOT","NBR","A","2009",38199,
"CZE","IMMIGINFLOW","TOT","NBR","A","2010",28046,
"CZE","IMMIGINFLOW","TOT","NBR","A","2011",15657,
"CZE","IMMIGINFLOW","TOT","NBR","A","2012",19621,
"CZE","IMMIGINFLOW","TOT","NBR","A","2013",20515,
"CZE","IMMIGINFLOW","TOT","NBR","A","2014",23475,
"CZE","IMMIGINFLOW","TOT","NBR","A","2015",27777,
"CZE","IMMIGINFLOW","TOT","NBR","A","2016",29198,
"CZE","IMMIGINFLOW","TOT","NBR","A","2017",40205,
"CZE","IMMIGINFLOW","TOT","NBR","A","2018",55360,
"CZE","IMMIGINFLOW","TOT","NBR","A","2019",62340,
"CZE","IMMIGINFLOW","TOT","NBR","A","2020",55553,
"CZE","IMMIGINFLOW","TOT","NBR","A","2021",63916,
"CZE","IMMIGINFLOW","TOT","NBR","A","2022",45630,
"DNK","IMMIGINFLOW","TOT","NBR","A","2004",16840,
"DNK","IMMIGINFLOW","TOT","NBR","A","2005",17302,
"DNK","IMMIGINFLOW","TOT","NBR","A","2006",19626,
"DNK","IMMIGINFLOW","TOT","NBR","A","2007",25385,
"DNK","IMMIGINFLOW","TOT","NBR","A","2008",40197,
"DNK","IMMIGINFLOW","TOT","NBR","A","2009",32044,
"DNK","IMMIGINFLOW","TOT","NBR","A","2010",35180,
"DNK","IMMIGINFLOW","TOT","NBR","A","2011",33637,
"DNK","IMMIGINFLOW","TOT","NBR","A","2012",36029,
"DNK","IMMIGINFLOW","TOT","NBR","A","2013",43826,
"DNK","IMMIGINFLOW","TOT","NBR","A","2014",50731,
"DNK","IMMIGINFLOW","TOT","NBR","A","2015",62297,
"DNK","IMMIGINFLOW","TOT","NBR","A","2016",56099,
"DNK","IMMIGINFLOW","TOT","NBR","A","2017",52615,
"DNK","IMMIGINFLOW","TOT","NBR","A","2018",51953,
"DNK","IMMIGINFLOW","TOT","NBR","A","2019",49627,
"DNK","IMMIGINFLOW","TOT","NBR","A","2020",41845,
"DNK","IMMIGINFLOW","TOT","NBR","A","2021",55445,
"DNK","IMMIGINFLOW","TOT","NBR","A","2022",70263,
"FIN","IMMIGINFLOW","TOT","NBR","A","1995",7345,
"FIN","IMMIGINFLOW","TOT","NBR","A","1996",7539,
"FIN","IMMIGINFLOW","TOT","NBR","A","1997",8147,
"FIN","IMMIGINFLOW","TOT","NBR","A","1998",8340,
"FIN","IMMIGINFLOW","TOT","NBR","A","1999",7937,
"FIN","IMMIGINFLOW","TOT","NBR","A","2000",9108,
"FIN","IMMIGINFLOW","TOT","NBR","A","2001",11037,
"FIN","IMMIGINFLOW","TOT","NBR","A","2002",9972,
"FIN","IMMIGINFLOW","TOT","NBR","A","2003",9432,
"FIN","IMMIGINFLOW","TOT","NBR","A","2004",11511,
"FIN","IMMIGINFLOW","TOT","NBR","A","2005",12744,
"FIN","IMMIGINFLOW","TOT","NBR","A","2006",10293,
"FIN","IMMIGINFLOW","TOT","NBR","A","2007",13718,
"FIN","IMMIGINFLOW","TOT","NBR","A","2008",15132,
"FIN","IMMIGINFLOW","TOT","NBR","A","2009",13506,
"FIN","IMMIGINFLOW","TOT","NBR","A","2010",14617,
"FIN","IMMIGINFLOW","TOT","NBR","A","2011",17497,
"FIN","IMMIGINFLOW","TOT","NBR","A","2012",19819,
"FIN","IMMIGINFLOW","TOT","NBR","A","2013",20718,
"FIN","IMMIGINFLOW","TOT","NBR","A","2014",19946,
"FIN","IMMIGINFLOW","TOT","NBR","A","2015",22068,
"FIN","IMMIGINFLOW","TOT","NBR","A","2016",27846,
"FIN","IMMIGINFLOW","TOT","NBR","A","2017",26123,
"FIN","IMMIGINFLOW","TOT","NBR","A","2018",24928,
"FIN","IMMIGINFLOW","TOT","NBR","A","2019",27572,
"FIN","IMMIGINFLOW","TOT","NBR","A","2020",23983,
"FIN","IMMIGINFLOW","TOT","NBR","A","2021",29484,
"FIN","IMMIGINFLOW","TOT","NBR","A","2022",40222,
"FRA","IMMIGINFLOW","TOT","NBR","A","2001",137903,
"FRA","IMMIGINFLOW","TOT","NBR","A","2002",153795,
"FRA","IMMIGINFLOW","TOT","NBR","A","2003",170184,
"FRA","IMMIGINFLOW","TOT","NBR","A","2004",198573,
"FRA","IMMIGINFLOW","TOT","NBR","A","2005",198512,
"FRA","IMMIGINFLOW","TOT","NBR","A","2006",209406,
"FRA","IMMIGINFLOW","TOT","NBR","A","2007",206796,
"FRA","IMMIGINFLOW","TOT","NBR","A","2008",213105,
"FRA","IMMIGINFLOW","TOT","NBR","A","2009",209624,
"FRA","IMMIGINFLOW","TOT","NBR","A","2010",222830,
"FRA","IMMIGINFLOW","TOT","NBR","A","2011",229385,
"FRA","IMMIGINFLOW","TOT","NBR","A","2012",247577,
"FRA","IMMIGINFLOW","TOT","NBR","A","2013",258283,
"FRA","IMMIGINFLOW","TOT","NBR","A","2014",257904,
"FRA","IMMIGINFLOW","TOT","NBR","A","2015",262259,
"FRA","IMMIGINFLOW","TOT","NBR","A","2016",259889,
"FRA","IMMIGINFLOW","TOT","NBR","A","2017",260799,
"FRA","IMMIGINFLOW","TOT","NBR","A","2018",282546,
"FRA","IMMIGINFLOW","TOT","NBR","A","2019",292003,
"FRA","IMMIGINFLOW","TOT","NBR","A","2020",231977,
"FRA","IMMIGINFLOW","TOT","NBR","A","2021",278099,
"FRA","IMMIGINFLOW","TOT","NBR","A","2022",301094,
"DEU","IMMIGINFLOW","TOT","NBR","A","1999",263710,
"DEU","IMMIGINFLOW","TOT","NBR","A","2000",264138,
"DEU","IMMIGINFLOW","TOT","NBR","A","2001",287281,
"DEU","IMMIGINFLOW","TOT","NBR","A","2002",257250,
"DEU","IMMIGINFLOW","TOT","NBR","A","2003",231275,
"DEU","IMMIGINFLOW","TOT","NBR","A","2004",230502,
"DEU","IMMIGINFLOW","TOT","NBR","A","2005",196636,
"DEU","IMMIGINFLOW","TOT","NBR","A","2006",165281,
"DEU","IMMIGINFLOW","TOT","NBR","A","2007",232870,
"DEU","IMMIGINFLOW","TOT","NBR","A","2008",228329,
"DEU","IMMIGINFLOW","TOT","NBR","A","2009",201452,
"DEU","IMMIGINFLOW","TOT","NBR","A","2010",222467,
"DEU","IMMIGINFLOW","TOT","NBR","A","2011",290139,
"DEU","IMMIGINFLOW","TOT","NBR","A","2012",399457,
