"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90130561368392,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02164829378493,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.1764808593559,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13537911698555,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16120886282177,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.25728318967593,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.45934021407588,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50594116318282,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.57958840015235,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43520634450617,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.47363968674317,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64590740680758,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.72646244131963,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.00105854721745,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24371482191236,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.17956391801202,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.11301873913461,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.09380475504458,
"AUS","GDEXPRD","TOT","PC_GDP","A","2015",1.88104284788644,
"AUS","GDEXPRD","TOT","PC_GDP","A","2017",1.79427830253957,
"AUS","GDEXPRD","TOT","PC_GDP","A","2019",1.79856133280053,
"AUT","GDEXPRD","TOT","PC_GDP","A","1981",1.08998446539469,
"AUT","GDEXPRD","TOT","PC_GDP","A","1982",1.13556683151004,
"AUT","GDEXPRD","TOT","PC_GDP","A","1983",1.14474248320651,
"AUT","GDEXPRD","TOT","PC_GDP","A","1984",1.1948537641831,
