,TIME,employment_rate,hours_worked,gov_debt,perm_immigrants,exchange_rates,gdp,inflation,young_population,old_age_dependency,m3,m1,long_term_interest_rates,tax_revenue,spending_on_rnd,65age,employment_population,gni,net_trade_in_goods,population_growth,foreign_investment,gdp_growth,population
0,1968,68.34715,,,,360.0,,,24.1968881676068,11.4,,2.529122,,17.425,,6.938408895,,145604000000.0,,1.126996845,,12.88246814,
1,1969,68.05464,,,,360.0,,,24.0743359325932,11.5,,3.018481,,17.739,,7.077092674,,171076000000.0,,1.188814867,,12.47789451,
2,1970,68.02609,2243.0,,,360.0,3348.832992,,24.0316609237661,11.7,,3.643523,,18.609,,7.197698273,,215145000000.0,,1.151640472,0.044212577,2.454958384,0.044212577
3,1971,67.8151,2239.0,,,350.677694,3647.705468,6.3,24.0997737983035,11.9,,4.467495,,18.889,,7.319658406,,243206000000.0,,2.194253507,0.087444687,4.698992042,0.087444687
4,1972,67.32407,2228.0,,,303.1725,4069.992935,4.908333,24.1955825084809,12.1,,5.464527,,19.512,,7.481323058,,322536000000.0,,1.400779181,0.053139424,8.413547255,0.053139424
5,1973,67.76276,2201.0,,,271.701667,4532.01302,11.56667,24.3287056386567,12.4,,6.985854,,21.158,,7.669650062,,438255000000.0,,1.407188741,-0.009720361,8.032599975,-0.009720361
6,1974,66.85671,2137.0,,,292.0825,4812.870739,23.175,24.4014334421604,12.7,,7.918545,,21.691,,7.860290037,,485490000000.0,,1.329582019,0.042116149,-1.225239828,0.042116149
7,1975,66.05473,2112.0,,,296.7875,5355.131154,11.90833,24.3274752984517,12.7,,8.877714,,19.782,,8.065660691,,528330000000.0,,1.272707553,0.043333047,3.091575916,0.043333047
8,1976,66.08424,2128.0,,,296.5525,5809.31007,9.366667,24.3102578386121,13.4,,10.07551,,20.575,,8.284509293,,593864000000.0,,1.07155981,0.019277952,3.974984091,0.019277952
9,1977,66.41894,2129.0,,,268.51,6378.376732,8.175,24.2208181141331,13.8,,10.77499,,21.107,,8.526135588,,731215000000.0,,0.968032726,0.002910959,4.39033795,0.002910959
10,1978,66.70863,2123.0,,,210.441667,7121.897178,4.208333,24.0573817171629,14.2,,11.862,,22.694,,8.779879721,,1028250000000.0,,0.910030976,0.000789256,5.271941503,0.000789256
11,1979,67.0548,2126.0,,,219.14,8068.34118,3.7,23.8198502001636,14.6,,13.13205,,23.099,,9.041566804,,1071220000000.0,,0.846614503,0.022653768,5.484041832,0.022653768
12,1980,67.09999,2121.0,,,226.740833,8973.783444,7.758333,23.5127540487733,15.0,24.93542,13.47103,,24.032,,9.298720308,,1120600000000.0,,0.788153476,0.02514959,2.817591208,0.02514959
13,1981,67.13415,2106.0,,,220.535833,10168.273248,4.941667,23.4150260385744,15.4,27.15902,13.91792,,24.657,2.00381507407255,9.548345663,,1236720000000.0,,0.728460836,0.015504655,4.260624493,0.015504655
14,1982,67.30173,2104.0,,,249.076667,11073.018179,2.75,22.9613124115626,15.7,29.66619,14.72499,,25.121,2.08406204848707,9.802460226,,1152070000000.0,,0.693656149,0.038694841,3.279742743,0.038694841
15,1983,67.72694,2095.0,,,237.511667,11843.838707,1.9,22.5191841788248,16.0,31.85162,15.26411,,25.541,2.19357820808822,10.03802894,,1257620000000.0,,0.695583303,0.033458702,3.630198572,0.033458702
16,1984,67.51933,2108.0,,,237.5225,12730.496373,2.266667,22.0427712896388,16.4,34.33016,15.69659,,25.689,2.28440804645884,10.26499537,,1337560000000.0,,0.648316737,-0.000758506,4.410880154,-0.000758506
